#separator:tab
#html:false
go-ahead   /ˈɡoʊ əhed/          n.前进，进步；放行信号adj.前进着的前进着的 30%，放行信号 30%，前进 20%，进步 20%词性：名词 58%, 形容词 42%	go-ahead  /ˈɡoʊ əhed/       n.前进，进步；放行信号adj.前进着的前进着的 30%，放行信号 30%，前进 20%，进步 20%词性：名词 58%, 形容词 42%                                go-ahead
lithography   /lɪˈθɑːɡrəfi/          n.[印刷] 平版印刷术，石印术平版印刷术 100%	"lithography  /lɪˈθɑːɡrəfi/       n.[印刷] 平版印刷术，石印术平版印刷术 100%                 来自 lithography, 石版印刷.            Lithography is a printmaking technique that's commonly used when text is being printed. Some artists also use lithography to print images.Unlike other forms of printmaking that involve carving a plate or block that's then coated with ink, in lithography the metal or stone plate is coated with a waxy material. Text or images are carved out of this coating and spread with an oily ink that only adheres to the coated surface. Maps, prints, newspapers, and many other items (often with both images and text) are printed this way. Lithography combines the Greek lithos, ""stone,"" and graphein, ""to write.""lithography: lithographer, lithographies/lithographer: lithographers    lithography"
wend   /wend/          vt.走；前进vi.走；行时态:wended, wending, wends走 33%，行 18%，前进 14%，往 14%，去 14%，向 7%	wend  /wend/       vt.走；前进vi.走；行时态:wended, wending, wends走 33%，行 18%，前进 14%，往 14%，去 14%，向 7%                 来自 wendh, 弯, 转, 词源同 wind, went. 引申词义走, 行.      verbuk/wend/ us/wend/  wend your way to move slowly and not directly缓慢迂回地行进 The thieves then wended their way through the dark back streets to the docks.盗贼们鬼鬼祟祟地穿过黑暗的后街向码头走去。       To wend means to choose a path and then walk that path. The path may not always be the fastest route, but at least it should get you there. Eventually.It’s always good to have a goal, and that’s true with wending. You know where you want to go, so you wend your way there. You’ll notice that wend looks like the verb wind, and they both come from the same Old English wendan, which means “to turn, depart.”  When you wend, you may take curvy, windy roads, a more scenic route, some detours and side alleys, just for fun.  But don’t wend too much or you’ll be late.wend: wended, wending, wends   wend
handover   /ˈhændoʊvər/          n.移交移交 50%，交接 50%	handover  /ˈhændoʊvər/       n.移交移交 50%，交接 50%                       noun [ U ]uk/ˈhæn.dəʊ.vər/ us/ˈhæn.doʊ.vɚ/   the giving of control of or responsibility for something to someone else（控制权或责任的）移交 The United Nations is to supervise the handover of the prisoners of war.联合国将监督战俘的移交事宜。  See also hand sth over          handover
uppermost   /ˈʌpərmoʊst/          adj.至上的；最高的；最主要的adv.最高地；最重要地；最突出地最高的 60%，至上的 31%，向着或在最高或最重要位置 9%	uppermost  /ˈʌpərmoʊst/       adj.至上的；最高的；最主要的adv.最高地；最重要地；最突出地最高的 60%，至上的 31%，向着或在最高或最重要位置 9%                       adjective, adverbuk/ˈʌp.ə.məʊst/ us/ˈʌp.ɚ.moʊst/   in the highest position or having the most importance最高（的），最上面（的）；最重要（的）；在最高处（的） The building's uppermost floors were engulfed with flames.办公大楼的最上面几层陷入一片火海之中。 Store the canisters with their lids uppermost.把这些罐子盖子朝上放好。 What's uppermost in your mind just before a race?比赛即将开始，你脑子里想的最多的是什么？          uppermost
annoyingly   /əˈnɔɪɪŋli/          adv.恼人地；烦人地；令人不快地（annoying的副词形式）恼人地 54%，烦人地 46%	annoyingly  /əˈnɔɪɪŋli/       adv.恼人地；烦人地；令人不快地（annoying的副词形式）恼人地 54%，烦人地 46%                                annoyingly
anti-doping             n.反兴奋剂反兴奋剂 100%	anti-doping         n.反兴奋剂反兴奋剂 100%                                anti-doping
abed   /əˈbed/          adv.在床上在床上 67%，在床上的 33%	"abed  /əˈbed/       adv.在床上在床上 67%，在床上的 33%                             When you're abed, you're lying in your bed. You might be late for breakfast with your family because you lie abed long after your alarm goes off.The word abed is very old fashioned, and you're most likely to come across it in a book. A character in a 19th century novel might lie abed all day before being diagnosed with scarlet fever, for example. Abed is rooted in the Old English on bedde, or ""in bed, from the sense of a- meaning ""on"" — which is also found in words like ""alive,"" ""asleep,"" and ""afoot"" — and bed.abed: abeds   abed"
basalt   /bəˈsɔːlt/          n.[岩] 玄武岩；黑陶器玄武岩 100%	basalt  /bəˈsɔːlt/       n.[岩] 玄武岩；黑陶器玄武岩 100%           Orange lava collects around the black basalt rocks.橙色熔岩聚集在黑色玄武岩的周围。      来自希腊语 basanos, 试金石, 形容玄武岩之硬. -salt, 拼写俗化的结果.      noun [ U ]uk/ˈbæs.ɒlt/ us/ˈbæs.ɑːlt/   a type of black rock that comes from a volcano玄武岩          basalt
school-aged             [网络]学龄期	school-aged         [网络]学龄期                                school-aged
passe   /pæˈseɪ/          adj.已过盛年的；过时的；凋谢的过时的 64%，已过盛年的 36%	"passe  /pæˈseɪ/       adj.已过盛年的；过时的；凋谢的过时的 64%，已过盛年的 36%                 来自 passe, 过去的, 来自法语 passer 的过去分词形式, 词源同 pass. 原指女人青春不再, 后引申词义过时, 陈旧.            Passé describes something that's out of style or ""so yesterday!"" What your parents think is cool is usually very passé, but sometimes their old stuff is stylish again, like the Lynyrd Skynyrd T-shirt you borrow from your mom.From the French passer,""to pass,"" passé came into English use in the 18th century, and its accented ""é"" is still used in the 21st century. Pronounced ""pass-AY,"" the adjective passé is a classier way to call something outdated, unfashionable, and so out of touch with trends. Your floppy pop-star haircut may be passé if a crew-cut band becomes all the rage, but even saying ""all the rage"" is itself probably passé. If it's current and in style, it's not passé.passe: passest, passingly   passe"
positivism   /ˈpɑːzətɪvɪzəm/          n.实证主义；实证论；积极性；武断实证主义 100%	positivism  /ˈpɑːzətɪvɪzəm/       n.实证主义；实证论；积极性；武断实证主义 100%                 来自 positive, 实证的, -ism, 主义, 思想.      noun [ U ]uk/ˈpɒz.ə.tɪ.vɪ.zəm/ us/ˈpɑː.zə.t̬ɪ.vɪ.zəm/   specialized social sciences the belief that knowledge comes from things that can be experienced with the senses or proved by logic实证主义，实证论 the quality of having a positive attitude or message正面，积极 Voters were drawn to his positivism.投票人被他积极的态度所吸引。          positivism
chrysalis   /ˈkrɪsəlɪs/          n.[昆] 蝶蛹；虫茧；准备期蛹 71%，茧 29%	"chrysalis  /ˈkrɪsəlɪs/       n.[昆] 蝶蛹；虫茧；准备期蛹 71%，茧 29%                 来自词根 chrys, 金色. 因蝴蝶蛹金色的色泽而得名.      noun [ C ]uk/ˈkrɪs.əl.ɪs/ us/ˈkrɪs.əl.ɪs/ plural chrysalises uk/-ɪz/ us  an insect covered by a hard case at the stage of development before it becomes a moth or butterfly with wings, or the case itself蛹；蛹壳，茧       A chrysalis is the form a caterpillar takes before it emerges from its cocoon as a fully formed moth or butterfly. The chrysalis has hard skin that's left behind after the caterpillar sheds its soft outer skin.Besides forming itself into a chrysalis, a caterpillar is also able to spin a kind of sticky silk for attaching itself to a branch or leaf. The often gold-colored chrysalis stays attached while undergoing further transformation toward becoming a butterfly. Chrysalis comes from the Greek khrysallis, ""golden pupa of the butterfly,"" from khrysos, ""gold.""chrysalis: chrysalides, chrysalises   chrysalis"
rhyming   /ˈraɪmɪŋ/          n.押韵adj.押韵的v.押韵（rhyme的ing形式）；作诗原型:rhyming 是 rhym 的现在分词押韵 95%，动词rhyme的现在分词形式. 5%词性：形容词 70%, 名词 30%	rhyming  /ˈraɪmɪŋ/       n.押韵adj.押韵的v.押韵（rhyme的ing形式）；作诗原型:rhyming 是 rhym 的现在分词押韵 95%，动词rhyme的现在分词形式. 5%词性：形容词 70%, 名词 30%                                rhyming
curation    /ˌkjuːˈreɪʃən/           n.治愈，治疗; [IT]（对数字信息的）综合处理，指对数字信息的选择，保存，管理等一系列处理行为，其目的是建立完善的查询机制和提供可靠的参考数据; 策展	curation   /ˌkjuːˈreɪʃən/        n.治愈，治疗; [IT]（对数字信息的）综合处理，指对数字信息的选择，保存，管理等一系列处理行为，其目的是建立完善的查询机制和提供可靠的参考数据; 策展                                curation
parachute   /ˈpærəʃuːt/          n.降落伞vi.跳伞空投时态:parachuted, parachuting, parachutes降落伞 74%，跳伞 25%，缓降物 1%词性：名词 86%, 动词 14%	"parachute  /ˈpærəʃuːt/       n.降落伞vi.跳伞空投时态:parachuted, parachuting, parachutes降落伞 74%，跳伞 25%，缓降物 1%词性：名词 86%, 动词 14%           They used parachutes dropped from airplanes to send supplies to the civilians.他们使用从飞机上空投降落伞向平民运送物资。      para-, 保护, 防御, chute, 下降, 管道, 词源同 deciduous. 即减弱下降力道的工具, 引申词义降落伞.降落伞(para+chute降下)[para-①表示""半,类似,辅助""②表示""在旁边""③表示""降落伞""] n.降落伞v.跳伞Having checked the parameters of the apparatus, the paralysed parasite went to the paradise by parachute.检查过仪器的参数后,瘫痪的寄生虫乘降落伞到天堂去了.   parachute 6 48 The Armed Forces A. Vehichles and Equipment  1. fighter plane  2. bomber  3. bomb  4. aircraft carrier  5. battleship  6. parachute  7. submarine  8. periscope  9. jeep  10. tank  11. cannon  12. gun turret B. Personnel  13. Navy  14. sailor  15. Army  16. soldier  17. Marines  18. marine  19. Air Force  20. airman C. Weapons and Ammunition  21. rifle  22. trigger  23. barrel  24. bayonet  25. machine gun  26. bullet  27. shell  28. mortar  29. hand grenade   noun [ C ]uk/ˈpær.ə.ʃuːt/ us/ˈper.ə.ʃuːt/  B2 a piece of equipment made of a large piece of special cloth that is fastened to a person or thing that is dropped from an aircraft, in order to make him, her, or it fall slowly and safely to the ground降落伞Examplesa parachute harnessAirborne troops were dropped by parachute behind enemy lines.For whatever reason his parachute failed to open.She's agreed to do a parachute jump for charity.There was a large tear in his parachute.  verbuk/ˈpær.ə.ʃuːt/ us/ˈper.ə.ʃuːt/   [ I usually + adv/prep ] to jump from an aircraft using a parachute跳伞 The plan is to parachute into the town.计划是要跳伞进入该城。 [ T usually + adv/prep ] to drop someone or something from an aircraft by parachute（用降落伞）空投，空降 [ often passive ] Thousands of leaflets were parachuted behind enemy lines.数千份传单被空投至敌后。       A parachute fills with air and breaks the fall of someone falling from an airplane.If your airplane is in trouble, and you need to jump, your best friend is a parachute. That's the device people jumping from airplanes use to slow down their falls. A parachute fills up like a balloon, slowing the person down so they fall to the ground gently and safely. People who jump out of planes for fun also use parachutes. When you do this, you're parachuting. Whether for fun or because of your plane's mechanical failure, parachuting is exciting.parachute: parachuted, parachuter, parachutes, parachuting, parachutist/parachuter: parachuters/parachutist: parachutists    parachute"
