#separator:tab
#html:false
two-point             n.二点[网络]二点交叉；两点侦测；两点法	two-point         n.二点[网络]二点交叉；两点侦测；两点法                                two-point
heredity   /həˈredəti/          n.遗传，遗传性遗传 98%，遗传特征 2%	"heredity  /həˈredəti/       n.遗传，遗传性遗传 98%，遗传特征 2%           The boy’s face is similar to his father’s because of heredity.由于遗传，男孩的脸与他父亲的相似。      来自拉丁语 heres, 继承, 词源同 heir, heiress, 来自 ghe, 留下, 遗留.      noun [ U ]uk/hɪˈred.ə.ti/ us/həˈred.ə.ti/   the process by which characteristics are given from a parent to their child through the genes遗传 Diet and exercise can influence a person's weight, but heredity is also a factor.节食和运动可以影响一个人的体重，而遗传也是一个因素。       Heredity is the biological process responsible for passing on physical traits from one generation to another. If your mom and dad both have dreamy blue eyes and so do you, then you've got hereditary to thank for your movie-star gaze.First used in the 1530s, the noun heredity comes from the Latin word hereditatem, meaning ""condition of being an heir."" It can refer to inheriting characteristics from your parents, or it can refer more broadly to the passing on of genetic factors from one generation to the next. Heredity will determine a person's hair color and height. And due to heredity, some people are more susceptible to diseases and disorders like cancer, alcoholism, and depression.heredity: hereditary, heredities/hereditary: hereditarily, nonhereditary    heredity"
staining   /ˈsteɪnɪŋ/          n.着色v.沾染（stain的ing形式）原型:staining 是 stain 的现在分词着色 78%，生锈 11%，动词stain的现在分词. 11%词性：名词 82%, 形容词 18%	staining  /ˈsteɪnɪŋ/       n.着色v.沾染（stain的ing形式）原型:staining 是 stain 的现在分词着色 78%，生锈 11%，动词stain的现在分词. 11%词性：名词 82%, 形容词 18%                                staining
emcee   /emˈsiː/          n.主持人；司仪vt.主持；做司仪；介绍（演出的节目等）vi.做主持人；担任司仪时态:emceed, emceeing, emcees主持人 42%，主持 36%，司仪 19%，担任主持人 3%	emcee  /emˈsiː/       n.主持人；司仪vt.主持；做司仪；介绍（演出的节目等）vi.做主持人；担任司仪时态:emceed, emceeing, emcees主持人 42%，主持 36%，司仪 19%，担任主持人 3%                 来自缩写词 M. C 的发音, 全称 master of ceremony.      noun [ C ]uk/ˌemˈsiː/ us/ˌemˈsiː/ mainly US UK usually compere  a person whose job is to introduce performers in a television, radio, or stage show司仪；（演出等的）节目主持人 He was emcee of the live New Year's Eve show.他担任了跨年直播晚会的司仪。 SynonymMC  verb [ I or T ]uk/ˌemˈsiː/ us/ˌemˈsiː/ mainly US UK usually compere  to introduce performers in a television, radio, or stage show担任司仪；担任（演出等的）节目主持人 Jimmy Kimmel emceed the American Music Awards.吉米·坎摩尔主持了全美音乐奖。          emcee
isolating   /ˈaɪsəleɪtɪŋ/          v.使隔离；使绝缘（isolate的ing形式）adj.孤立的；绝缘的原型:isolating 是 isolate 的现在分词孤立的 51%，绝缘的 37%，动词isolate的现在分词. 12%	isolating  /ˈaɪsəleɪtɪŋ/       v.使隔离；使绝缘（isolate的ing形式）adj.孤立的；绝缘的原型:isolating 是 isolate 的现在分词孤立的 51%，绝缘的 37%，动词isolate的现在分词. 12%                                isolating
variegated   /ˈverɪɡeɪtɪd/          adj.杂色的；斑驳的；富于变化的v.成为杂色（variegate的过去式）原型:variegated 是 variegate 的过去式杂色的 42%，斑驳的 29%，形形色色的 22%，动词variegate的过去式和过去分词形式. 7%	"variegated  /ˈverɪɡeɪtɪd/       adj.杂色的；斑驳的；富于变化的v.成为杂色（variegate的过去式）原型:variegated 是 variegate 的过去式杂色的 42%，斑驳的 29%，形形色色的 22%，动词variegate的过去式和过去分词形式. 7%           The bouquet of flowers has a variegated appearance. There are so many different colors!这束花有一个斑斓的外观。有这么多不同的颜色！      var-, 改变, 多变, 词源同 vary, -eg, 做, 词源同 agent. 引申词义多样的, 斑驳的.      adjectiveuk/ˈveə.rɪ.ɡeɪ.tɪd/ us/ˈver.i.ə.ɡeɪ.t̬ɪd/   having a pattern of different colours or marks色彩斑驳的；有斑点的 variegated leaves斑叶 a variegated plant色彩斑驳的植物       Something variegated has many different colors, as in the trees of autumn or the feathers of a peacock. Whenever you see ""vari"" at the beginning of a word, you know that the idea of difference or change is involved.Using vari is a good way to start thinking about this word. It's the same root as in various, variable, varied, and variety. All these words mean something similar: lots of different versions of something. The scales of a fish can appear quite variegated from one angle and then strangely uniform from another. A tiger's variegated coat helps it stay hidden.variegate: variegated, variegates, variegating, variegation/variegation: variegations    variegated"
waveform   /ˈweɪvfɔːrm/          n.[物][电子] 波形名词 100%	waveform  /ˈweɪvfɔːrm/       n.[物][电子] 波形名词 100%                                waveform
jeweled   /ˈdʒuːəld/          adj.饰有宝石的饰有宝石的 100%	jeweled  /ˈdʒuːəld/       adj.饰有宝石的饰有宝石的 100%                                jeweled
self-styled   /ˌself ˈstaɪld/          adj.自称的，自封的自称的 84%，自任的 16%	"self-styled  /ˌself ˈstaɪld/       adj.自称的，自封的自称的 84%，自任的 16%                       adjective [ before noun ]uk/ˌselfˈstaɪld/ us/ˌselfˈstaɪld/ usually disapproving  given a name or title by yourself without any official reason for it自封的；自称的 Television news appears to be full of self-styled ""experts"" who are happy to give their views on subjects that they actually know very little about.媒体上似乎满是自封的“专家”，他们乐于对自己实际上知之甚少的话题发表见解。          self-styled"
audiobook   /ˈɔːdioʊbʊk/          n.有声读物（把文字录制成语音的“有声书”）有声读物 100%	audiobook  /ˈɔːdioʊbʊk/       n.有声读物（把文字录制成语音的“有声书”）有声读物 100%                       noun [ C ]uk/ˈɔː.di.əʊ.bʊk/ us/ˈɑː.di.oʊ.bʊk/   a recording, on a CD or made available on the internet, of a book being read aloud（配有光盘或网上录音资料的）有声读物 We have a wide range of audiobooks for you to download to your smartphone or other listening device.我们有一系列有声读物供你下载到智能手机或其他设备上收听。          audiobook
powwow   /ˈpaʊwaʊ/          n.仪式；巫师；医师vt.用巫术医治vi.商谈；举行祈祷仪式时态:powwowed, powwowing, powwows帕瓦仪式 37%，巫医 27%，举行帕瓦仪式 18%，议事会 18%词性：名词 90%, 动词 10%	powwow  /ˈpaʊwaʊ/       n.仪式；巫师；医师vt.用巫术医治vi.商谈；举行祈祷仪式时态:powwowed, powwowing, powwows帕瓦仪式 37%，巫医 27%，举行帕瓦仪式 18%，议事会 18%词性：名词 90%, 动词 10%                 来自北美土著语 powwaw, 萨满法师, 巫师, 巫师做法仪式. 后借用该词用于指现代意义上的讨论会, 理事会.      nounuk/ˈpaʊ.waʊ/ us/ˈpaʊ.waʊ/   [ C ] a meeting of Native Americans for making decisions or for having spiritual ceremonies or celebrations（北美印第安人为议事、祈神或庆祝举行的）帕瓦仪式 [ C usually singular ] humorous a meeting in which something important is discussed会议，讨论会 My brother's getting divorced so I'm going home for a family powwow this weekend.我哥哥要离婚了，因此本周末我要回家参加家庭会议。       To powwow or have a powwow is to have a quick meeting. People powwow when they need to discuss something.Originally, powwow was a Native American term for a type of meeting or council. The term has since become a more general term for meetings and conferences, especially brief ones. Football players in a huddle are having a powwow. Two police officers may powwow before approaching a suspect. Anytime there's something to discuss and debate, you might need to powwow. At the end of a powwow, you should come to some kind of decision.powwow: powwowed, powwowing, powwows   powwow
pout   /paʊt/          n.撅嘴；生气vt.撅嘴vi.撅嘴时态:pouted, pouting, pouts噘嘴 51%，生气 27%，绷脸 11%，伸出 11%词性：动词 62%, 名词 38%	pout  /paʊt/       n.撅嘴；生气vt.撅嘴vi.撅嘴时态:pouted, pouting, pouts噘嘴 51%，生气 27%，绷脸 11%，伸出 11%词性：动词 62%, 名词 38%           Don't pout--why don't you come play with us?不要撅嘴--为什么不和我们一起玩？      词源不确定, 可能来自 Proto-Germanic*pud, 膨胀, 鼓起, 来自 bu, 膨胀, 词源同 pudding.【记】读：泡她，可惜她是冷美人，不理你，还撅嘴；生气 【类】wince:pain＝smile:pleasure＝pout:displeasure＝sneer:contempt退缩因为疼痛＝微笑因为愉快＝撅嘴因为不悦＝冷笑因为蔑视 【反】grin（v./n.露齿笑）      verb [ I or T ]uk/paʊt/ us/paʊt/   to push the lower lip forward to show you are annoyed, or to push both lips forward in a sexually attractive way（生气或性感地）撅嘴 Vanessa always pouts if she doesn't get what she wants.瓦妮莎得不到自己想要的东西时总是把嘴撅得高高的。 Caroline pouts her lips when she's putting on lipstick.卡罗琳涂口红时总是撅起嘴。       When something doesn’t go your way and you get annoyed about it, that’s a pout. And when you let the world know about it by thrusting out your lower lip, you are pouting. Get over it.When you pout, you’re expressing annoyance or displeasure. It’s a sulky kind of gesture, one that involves a facial expression more than words — in fact, a pout is often accompanied by a moody silence. The verb form of pout describes the action, and the noun form describes the facial expression. Maybe it's not a coincidence that a pout is also a type of fish. Pouting faces are a bit fish-like in their expressions.pout: pouted, pouter, pouting, pouts/pouter: pouters    pout
mimetic   /mɪˈmetɪk/          adj.模仿的；拟态的；类似的模仿的 72%，模拟的 28%	"mimetic  /mɪˈmetɪk/       adj.模仿的；拟态的；类似的模仿的 72%，模拟的 28%                 来自 mime, 模仿, -etic, 形容词后缀.      adjectiveuk/mɪˈmet.ɪk/ us/-ˈmet̬-/ specialized  copying or appearing the same as something模仿的 Art is a mimetic representation of reality.艺术是对现实的模仿。       Mimetic things imitate or echo something else. A mimetic pattern on the wings of a bird might look just like the pattern on tree bark or the leaves of a plant.You'll most often find the adjective mimetic in technical or scholarly writing, discussing mimetic designs and characteristics in nature. Or you might refer to mimetic techniques in art and writing. Sometimes literary realism in novels and poetry is described as mimetic, since it reflects or echoes what really happens in the world. Mimetic comes from the Greek root mimetikos, ""good at imitating.""mimetic: mimetically   mimetic"
dollhouse   /ˈdɑːlhaʊs/          n.玩偶之家；玩具屋；儿童游乐室玩具屋 79%，儿童游乐室 21%	dollhouse  /ˈdɑːlhaʊs/       n.玩偶之家；玩具屋；儿童游乐室玩具屋 79%，儿童游乐室 21%                    dollhouse 25 33 The Baby's Room   1. shade  2. mobile  3. teddy bear  4. crib  5. bumper  6. baby lotion  7. baby powder  8. baby wipes  9. changing table  10. cotton swab  11. safety pin  12. disposable diaper  13. cloth diaper  14. stroller  15. smoke detector  16. rocking chair  17. bottle  18. nipple  19. stretchie  20. bib  21. rattle  22. pacifier  23. walker  24. swing  25. dollhouse  26. cradle  27. stuffed animal  28. doll  29. toy chest  30. playpen  31. puzzle  32. block  33. potty            dollhouse
