#separator:tab
#html:false
anti-government             adj.反对政府的	anti-government         adj.反对政府的                                anti-government
waltz   /wɔːlts/          n.华尔兹舞；华尔兹舞曲adj.圆舞曲的；华尔兹舞的vt.硬拖；与…跳华尔兹舞vi.跳华尔兹舞；旋转；轻快地走动时态:waltzed, waltzing, waltzes跳华尔兹舞 54%，华尔滋舞 19%，偷走某物 9%，轻快地或跳着舞走 9%，轻易赢得某物 9%词性：名词 69%, 动词 31%	"waltz  /wɔːlts/       n.华尔兹舞；华尔兹舞曲adj.圆舞曲的；华尔兹舞的vt.硬拖；与…跳华尔兹舞vi.跳华尔兹舞；旋转；轻快地走动时态:waltzed, waltzing, waltzes跳华尔兹舞 54%，华尔滋舞 19%，偷走某物 9%，轻快地或跳着舞走 9%，轻易赢得某物 9%词性：名词 69%, 动词 31%                 来自 wel, 转, 旋转, 词源同 volume, involve. 引申词义舞蹈.      noun [ C ]uk/wɒls/ us/wɑːls/   a formal dance in which two people holding each other move around a large room, turning as they go, or a piece of music with three beats in a bar written for this style of dancing华尔兹舞；华尔兹舞曲，圆舞曲  verbuk/wɒls/ us/wɑːls/  waltz verb WALK  [ I usually + adv/prep ] informal to walk somewhere quickly and confidently, often in a way that annoys other people（常指以令人厌烦的方式）神态自若地走，大摇大摆地走 You can't just waltz into my bedroom without knocking - it's private!你不能连门也不敲就大摇大摆地进我的卧室——这是私人空间！ My idiot husband has gone and waltzed off with my car keys and left me without any way to get to work!我那白痴丈夫带着我的车钥匙悠然离去，害得我没办法去上班！  waltz verb DANCE  [ I ] to dance a waltz跳华尔兹舞Phrasal verb(s)waltz through sth      A dance in which two dancers move in triple time as they turn together in circles is called a waltz, and it's also the name of music that's written for that sort of dance. If you aspire to be a competitive ballroom dancer, you'll need to master the waltz.Waltz is also a verb, so couples may waltz around the ballroom while the band plays a waltz. When you waltz, you face your dance partner with one hand on their waist or shoulder and the other clasping their hand. The two of you move in a gliding spin. It its earliest days, the waltz was considered a bit shocking—previous dances were ""open,"" with couples side by side, rather than ""closed,"" with dancers facing each other.waltz: waltzed, waltzer, waltzes, waltzing/waltzer: waltzers    waltz"
blankly   /ˈblæŋkli/          adv.茫然地；毫无表情地；茫然若失茫然地 80%，没有表情地 20%	"blankly  /ˈblæŋkli/       adv.茫然地；毫无表情地；茫然若失茫然地 80%，没有表情地 20%                             To do something in a plain, expressionless, or empty way is to do it blankly. If you gaze blankly into the distance, you have no expression on your face at all.If you've ever made an announcement or given a speech only to have everyone stare blankly at you, you know exactly what this adverb means. People who look blankly at the TV set don't seem to be having much fun, and kids who gaze blankly at their math teacher don't appear to understand the equations she's writing on the board. Blankly comes from blank, which means both ""bare or empty"" and ""void of expression.""blank: blanked, blanker, blankest, blanking, blankly, blankness, blanks/blankness: blanknesses    blankly"
shipwreck   /ˈʃɪprek/          n.海难；遇难船vt.使失事；使毁灭；使失败时态:shipwrecked, shipwrecking, shipwrecks海难 59%，遇难船 19%，船只失事 19%，使遭遇海难 3%词性：名词 85%, 动词 15%	shipwreck  /ˈʃɪprek/       n.海难；遇难船vt.使失事；使毁灭；使失败时态:shipwrecked, shipwrecking, shipwrecks海难 59%，遇难船 19%，船只失事 19%，使遭遇海难 3%词性：名词 85%, 动词 15%           During our last dive we found a shipwreck.上一次潜水我们发现了一艘遇难船。      ship, 船, wreck, 破坏, 毁坏.      noun [ C or U ]uk/ˈʃɪp.rek/ us/ˈʃɪp.rek/ also wreck  an accident in which a ship is destroyed or sunk at sea, especially by hitting rocks, or a ship that has been destroyed or sunk in such an accident（尤指触礁导致的）船只失事，海难；失事船只，沉船 The danger of shipwreck is much greater in fog.雾天船只失事的危险会大得多。 There have been many shipwrecks along this dangerous stretch of coastline.在这段危险的海岸线上，已经发生了很多起沉船事件。  verb [ T ]uk/ˈʃɪp.rek/ us/ˈʃɪp.rek/   to make someone suffer a shipwreck使（某人）遇上海难 They were shipwrecked off the coast of Newfoundland.他们的船在纽芬兰海岸附近失事了。 a shipwrecked sailor遭遇海难的水手          shipwreck
demoralize   /dɪˈmɔːrəlaɪz/          vt.使道德败坏；使堕落；使士气低落时态:demoralized, demoralizing, demoralizes使士气低落 88%，使失去斗志 12%	"demoralize  /dɪˈmɔːrəlaɪz/       vt.使道德败坏；使堕落；使士气低落时态:demoralized, demoralizing, demoralizes使士气低落 88%，使失去斗志 12%           I haven't sold anything all week, and it's starting to demoralize me.整个星期我没有卖掉任何东西，这让我垂头丧气。      de-, 不, 非, 使相反. moral, 道义, 士气. 即使士气低落.使士气消沉(de去掉+morale士气+ize→去掉士气)[mor=moral,表示""道德：]      verb [ T ]UK usually demoralise uk/dɪˈmɒr.ə.laɪz/ us/dɪˈmɔːr.ə.laɪz/   to make someone or something feel much less confident使泄气，使垂头丧气 Losing several games in a row had completely demoralized the team.连续输掉数场比赛使全队上下彻底泄了气。       If something demoralizes you, it makes you feel bad or hopeless. When your soccer team was trounced by the last-place team in the league, the loss seemed to demoralize everyone, from players to coaches to fans.Demoralize can also mean what it looks like, ""to remove the morals of."" For example, parents worry that R-rated movies will demoralize their children. In other words, they fear kids will lose their sense of what's right and wrong if they see glamorous actors indulging in bad behavior.demoralize: demoralisation, demoralization, demoralized, demoralizes, demoralizing/demoralization: demoralizations/demoralizing: demoralizingly    demoralize"
Icelandic   /aɪsˈlændɪk/          n.冰岛语adj.冰岛的；冰岛人的；冰岛语的冰岛的 34%，冰岛语的 24%，冰岛人的 24%，冰岛语 18%	Icelandic  /aɪsˈlændɪk/       n.冰岛语adj.冰岛的；冰岛人的；冰岛语的冰岛的 34%，冰岛语的 24%，冰岛人的 24%，冰岛语 18%                       adjectiveuk/aɪsˈlæn.dɪk/ us/aɪsˈlæn.dɪk/   belonging to or relating to Iceland, its people, or its language冰岛的；冰岛人的；冰岛语的  noun [ U ]uk/aɪsˈlæn.dɪk/ us/aɪsˈlæn.dɪk/   the main language spoken in Iceland冰岛语          Icelandic
re-enact   /ˌriː ɪˈnækt/          vt.重新制定；再扮演时态:re-enacted, re-enacting, re-enacts再次扮演 2 100%	re-enact  /ˌriː ɪˈnækt/       vt.重新制定；再扮演时态:re-enacted, re-enacting, re-enacts再次扮演 2 100%                       verb [ T ]also reenact uk/ˌriː.ɪˈnækt/ us/ˌriː.ɪˈnækt/   If you re-enact an event, you try to make it happen again in exactly the same way that it happened the first time, often as an entertainment or as a way to help people remember certain facts about an event.使重现；使重新发生；再次进行 Police officers re-enacted the crime in an attempt to get witnesses to come forward.警察重现了犯罪的经过，目的是让目击证人主动站出来。          re-enact
greased   /ɡriːst/          adj.灌足酒的；患踵炎症的；醉的；加过润滑脂的原型:greased 是 grease 的过去式和过去分词油的 61%，油腻的 13%，动词grease的过去式和过去分词. 13%，涂上润滑油的 13%	greased  /ɡriːst/       adj.灌足酒的；患踵炎症的；醉的；加过润滑脂的原型:greased 是 grease 的过去式和过去分词油的 61%，油腻的 13%，动词grease的过去式和过去分词. 13%，涂上润滑油的 13%                                greased
no-fly             adj.禁飞的禁飞的 100%	no-fly         adj.禁飞的禁飞的 100%                                no-fly
tirade   /ˈtaɪreɪd/          n.激烈的长篇演说长篇的攻击性演说 100%	"tirade  /ˈtaɪreɪd/       n.激烈的长篇演说长篇的攻击性演说 100%           The protester went on an angry tirade about how the government steals money from the poor.这名抗议者愤怒地大肆宣扬政府如何从穷人那里偷钱。      →记1: tirade 音“太锐的”→太尖锐的演说→长篇攻击性演说 →参考: tired(a. 疲劳的), trade(n. 贸易)来自法语 tirade, 齐射, 猛拉, 长篇演讲, 来自 tirer, 拉, 拉长, 来自 der, 撕, 撕开, 词源同 tear, tier, tire. 引申词义抨击, 严厉批评, 特指长篇大论的连续批评.很长的演说(tir+ade→把[话]拉长→很长的演说)[tir=draw,表示""拉""]【记】tir＝tire类，ade进攻性－类而有进攻性的演说－长篇攻击性愤怒演说 【类】bombast:pompous＝tirade:critical夸大言辞是夸大的＝攻击性演说是批评的anger:tirade＝exaggeration:hyperbole攻击性演说表达愤怒＝夸张法表示夸张 【反】dispassionate speech（心平气和的演说）      noun [ C ]uk/taɪˈreɪd/ /tɪˈreɪd/ us/ˈtaɪ.reɪd/   a long, angry speech expressing strong disapproval长篇抨击性演说 She launched into an angry/furious tirade about how she had been unfairly treated.她就自己遭受的不公正对待进行了长时间愤怒的控诉。 In a furious tirade of abuse, the opposition spokesperson demanded the minister's resignation.在措词激烈的长篇指责中，反对党发言人要求这位部长辞职。       A tirade is a speech, usually consisting of a long string of violent, emotionally charged words. Borrow and lose your roommate’s clothes one too many times, and you can bet you’ll be treated to a heated tirade.The noun tirade is related to the Italian word tirata, which means ""volley."" So imagine a very angry person lobbing harsh words and strings of profanity in your direction when you want to remember what tirade means. Although, tirades don't necessarily have to include bad words — any long, drawn out speech or epic declaration can be called a tirade.tirade: tirades   tirade"
springboard   /ˈsprɪŋbɔːrd/          n.跳板；出发点vi.利用跳板跃进跳板 82%，出发点 18%	springboard  /ˈsprɪŋbɔːrd/       n.跳板；出发点vi.利用跳板跃进跳板 82%，出发点 18%                 spring, 跳, board, 板.      noun [ C ]uk/ˈsprɪŋ.bɔːd/ us/ˈsprɪŋ.bɔːrd/  springboard noun [ C ] SPORT  a board that can bend, helping people to jump higher when jumping or diving into a swimming pool or when doing gymnastics（跳水或体操中的）跳板  springboard noun [ C ] GOOD START  something that provides you either with the opportunity to follow a particular plan of action, or the encouragement that is needed to make it successful（提供动力的）跳板；（有助于开展某事的）出发点，开端 The firm's director is confident that the new project will act as a springboard for/to further contracts.公司主管确信，新项目将会是一个开端，随后会有更多的合同。          springboard
void   /vɔɪd/          n.空虚；空间；空隙adj.空的；无效的；无人的vt.使无效；排放时态:voided, voiding, voids级别:voider, voidest空白 30%，无效的 19%，空虚 19%，空的 10%，真空 9%，排泄 6%，使无效 5%，缺乏的 1%，使空出 1%词性：名词 81%, 动词 10%, 形容词 9%	"void  /vɔɪd/       n.空虚；空间；空隙adj.空的；无效的；无人的vt.使无效；排放时态:voided, voiding, voids级别:voider, voidest空白 30%，无效的 19%，空虚 19%，空的 10%，真空 9%，排泄 6%，使无效 5%，缺乏的 1%，使空出 1%词性：名词 81%, 动词 10%, 形容词 9%           From the Moon, space looks like an endless black void.从月亮上看，宇宙就像一个黑暗的空间。      来自古法语 voide, 空的, 来自 wa-, 空出, 遗弃, 词源同 vain, vacuum. 引申词义空白, 空虚.空的,n.空虚[vac,van,void=empty表示""空""] a.空虚的;没有的;无效的Her rejoicing voice is void of something avoidable.她那令人高兴的声音缺少某种可避免的东西.      nounuk/vɔɪd/ us/vɔɪd/   [ C usually singular ] a large hole or empty space空洞；空间；空白 She stood at the edge of the chasm and stared into the void.她站在裂缝的边缘凝视着下面的深渊。 Before Einstein, space was regarded as a formless void.在爱因斯坦之前，太空被认为是无形的虚空之地。 [ S ] a feeling of unhappiness because someone or something is missing空虚感；失落感 They tried to describe their attempts to fill the void left by their son's death.他们竭力想要描述他们曾如何试图填补儿子死后留下的空虚感。  adjectiveuk/vɔɪd/ us/vɔɪd/  void adjective NOT ACCEPTABLE  having no legal authority and therefore unacceptable不合法的；无效的 The lawyers declared the contract (null and) void.律师宣布这份合同无效。  See also null and void  void adjective WITHOUT void of literary without; lacking in没有；缺少 He's completely void of charm as far as I can see.依我看他毫无魅力可言。  verb [ T ]uk/vɔɪd/ us/vɔɪd/   to remove the legal force from something, such as a legal agreement使无效；使作废；取消       A void is empty space, nothingness, zero, zilch. A place that's void of all life forms has no sign of animals, plants, or people.You may recognize void from the Old Testament passage describing creation: ""The earth was without form and void, and darkness was over the face of the deep."" In other words, nothing was there: pure emptiness. When you void something or make it void, you make it legally invalid, and that kind of void often goes with null. You might tell Cinderella, ""If you're not back by midnight, that arrangement with the pumpkin and the mice is null and void.""void: voidable, voidance, voided, voider, voiding, voidly, voids/voiding: voidings    void"
